cmake 3.25.1
features core
portfile.cmake ee6f8e309cb0ac6700d8b62816864d66b54c4e2fbf78281abc502290b80ce4a9
ports.cmake 47a3510fcec56fae26f4fb082afd972a70a04e26efa73e2de69123139500f02d
post_build_checks 2
powershell 7.2.8
triplet x64-windows
triplet_abi 4556164a2cd3dd6f4742101eabb46def7e71b6e5856faa88e5d005aac12a803c-2b9f5a18de013332e7068fafe850651fd91434ba2a08aae552b8565a2236f81b-27ebd443f77a6c449168adfa6ce8def60cf46e88
vcpkg-tool-meson 50e01e436f01c94dbbd8ddc138bf3609987de1423468b0e6777608b5902fdaa1
vcpkg.json d27176647fdd053bc550393484caf220dda7d8115afa9bc8d69183bdff3583f7
vcpkg_configure_meson a6de304083d3fca70825963467c4cb4e55af38fcf6fb8db23bf7ffe41f5372a8
vcpkg_copy_tools 3d45ff761bddbabe8923b52330168dc3abd295fa469d3f2e47cb14dce85332d5
vcpkg_fixup_pkgconfig e61be31d6539cc056e70b4f6c124e8da1de30e501a438e8cf358379ce744680d
vcpkg_from_git 8f27bff0d01c6d15a3e691758df52bfbb0b1b929da45c4ebba02ef76b54b1881
vcpkg_from_github b743742296a114ea1b18ae99672e02f142c4eb2bef7f57d36c038bedbfb0502f
vcpkg_install_meson 715cf59e78124dcc0823803544dc12ca4ced4f46ebc43681f4f6cd23d3e99d92
vcpkg_replace_string d43c8699ce27e25d47367c970d1c546f6bc36b6df8fb0be0c3986eb5830bd4f1
